EVENT_ID,EVENT_TYPE,USER_ID,TRACK_ID,TARGET_USER_ID
c763df07-666d-40f4-bcf1-7fb03cadcc49,VIEW,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
e5c97f54-d9e1-404d-91b9-954a762093b4,VIEW,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
8ae40e98-a79e-4bcb-b4c2-36d268baa260,VIEW,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
aca31f83-4a6b-43e6-be5c-b828d66eacf5,VIEW,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
0c049580-9030-4a6f-83ca-01d87018195a,LISTEN,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
4e07c027-fc68-479b-aeba-c95db87b3e18,LISTEN,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
17ae2d1e-fcd0-4aa5-be55-964f6b3efb37,LISTEN,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
c6a38af7-d3ff-47a3-b5ff-c556a7a7197f,LISTEN,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
c2efc3e0-1601-4302-a431-d40cbebf94e3,LISTEN,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
eefe3f00-046c-4255-b94e-886ccf33173d,LISTEN,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
1b8063f1-384f-4150-b3d8-47969166adfc,LISTEN,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
6f30617d-09f3-49de-a6f7-c7f70316f0b0,LIKE,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
2a35358c-45be-4a8e-a0d2-07f8c4999816,LIKE,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
88d92d95-9e78-45c9-95d1-7ace58a5b429,LIKE,b38759bf-69d7-469a-983f-5f791a29548a,a7ea8873-d07e-414e-9158-519a05b00239,null
fef204bb-c961-4bd5-aa4c-2ef1a3d16817,LIKE,b47e2f14-7c66-4a77-b437-67542637f0ae,a7ea8873-d07e-414e-9158-519a05b00239,null
8b6d944f-b9ae-40dc-bf94-0cce9984f3ae,LIKE,b47e2f14-7c66-4a77-b437-67542637f0ae,a7ea8873-d07e-414e-9158-519a05b00239,null
0804d37f-4e72-4a97-9651-c6e73cb6e37f,LIKE,b599f3d9-681a-4581-a64a-c806a2203dd4,a7ea8873-d07e-414e-9158-519a05b00239,null
